"","GSM734540","GSM734541","GSM734542","GSM734543","GSM734544","GSM734545","GSM734546","GSM734547","GSM734548","GSM734549","GSM734550","GSM734551","GSM734552","GSM734553","GSM734554","GSM734555","GSM734556","GSM734557","GSM734558","GSM734559","GSM734560","GSM734561","GSM734562","GSM734563","GSM734564","GSM734565","GSM734566","GSM734567","GSM734568","GSM734569","GSM734570","GSM734571","GSM734572","GSM734573","GSM734574","GSM734575","GSM734576","GSM734577","GSM734578","GSM734579","GSM734580","GSM734581","GSM734582","GSM734583","GSM734584","GSM734585","GSM734586","GSM734587"
"CATMA1a12280",14.27256617,13.70130681,13.60294675,13.67563699,13.38749698,13.06794168,13.15385872,13.69500063,13.12852131,13.30820007,13.27705052,13.42736414,12.37112114,11.43743691,11.60736869,11.4079979,11.73290208,11.80074398,11.47156116,11.77134221,11.78481696,11.84715674,11.84572058,12.53263474,14.0985605,14.18274348,13.58839059,13.87079731,13.44622866,13.07167439,13.30639639,13.41459351,13.24783309,13.57491047,14.10318647,14.20776606,14.41974812,14.54070991,14.28183629,14.14149091,13.95604732,13.42867284,13.52367636,13.55668396,13.36669727,13.73186471,13.70614466,14.42324958
"CATMA1a12920",10.43608276,10.17636328,10.32686675,10.05034923,10.43085378,10.28137791,10.47834485,10.47216255,10.62102674,9.840270116,9.83358864,9.719007239,10.07101933,10.12937265,10.14584218,9.931063807,9.583762813,10.069903,9.687784946,9.622546726,9.416534626,9.084868058,9.24800253,8.766049256,10.52558949,10.56606845,10.31541365,10.29227818,10.71228493,10.53196984,10.31203187,10.4288482,10.49487016,9.871637988,9.860305339,10.10127032,10.17493418,10.09553999,10.05014166,10.14936478,9.815317812,10.21986295,10.25065225,10.20784564,10.50287163,9.871630496,9.94588576,9.615756325
"CATMA1a15390",9.395645992,9.664568295,9.551753943,9.860005761,10.16918736,9.269094731,9.696857923,10.15975088,9.89468172,10.13893029,9.317571843,9.463657137,8.600978879,8.097792429,8.34030418,7.745059991,8.20901258,8.974052666,8.498982748,8.477320519,8.530395659,8.658676814,8.799630885,8.79063278,9.824147266,9.640113462,9.435196453,10.09334424,9.609955485,9.655729547,9.64624438,10.07880164,9.89165636,10.45974724,10.51585237,10.32646313,10.45177942,10.06917465,10.00844799,9.936280665,10.04836752,9.723619914,9.789258288,9.95303984,9.674480562,10.00989122,10.05631065,10.42085058
"CATMA1a16410",6.414910539,5.405915779,5.538533526,6.369623007,5.722485748,6.348328301,5.424188772,6.156374873,6.070669747,6.54054709,6.514586266,7.070185879,7.631023271,7.647451136,7.225457733,7.176693501,5.869101132,6.177538746,6.030737073,5.589587868,6.519522201,6.79329906,6.709235631,6.469016832,6.466330257,7.138464931,6.350028235,5.951960566,5.878677677,4.761619429,6.097231728,6.071689103,5.032057414,6.354322565,6.326788533,5.983226678,6.664696429,5.829705914,6.606359021,6.300614932,5.870163743,5.688327623,5.354264189,6.018933684,5.807665869,6.713991154,6.736219574,6.510398694
"CATMA1a16465",13.92085095,12.72701326,12.35401173,11.91711609,11.96923998,11.59797136,11.57543586,11.77221703,11.81809261,12.6125556,12.77329564,12.93024675,13.91580626,13.68657699,13.49022489,13.33129862,13.16541078,12.80219694,12.83872024,12.61264791,12.78690963,12.72281394,13.15534031,12.69733943,13.57229981,12.91138359,12.55076499,11.86393341,12.69003314,11.57789338,11.73153454,11.52781894,11.27085332,12.02229086,11.80497705,12.20449728,11.81078393,12.30326049,12.11863879,11.92553959,11.54575123,11.48466995,11.99101036,11.59509153,11.55755775,11.70575049,11.71422347,11.92838299
"CATMA1a17310",9.458354939,8.907147811,8.665228053,8.677098065,8.660040907,8.537994164,8.821892604,9.111762771,8.91484419,8.995170193,9.639542295,9.960975465,10.95762012,11.15667212,10.88061895,10.34709727,10.9293313,10.69153994,10.99719989,11.2036819,10.84462345,10.85775666,11.04973437,10.71545632,9.066961256,8.589824561,8.478993515,8.169695314,9.030212288,8.753845114,8.567442916,8.782850911,8.379599041,8.800507563,8.347794325,8.59897584,8.195875333,8.685144919,8.500401094,8.423551239,8.418188553,8.700629588,9.066178274,8.889059277,8.956136822,8.684056413,8.548177057,8.420192348
"CATMA1a17615",8.219016846,8.66374761,8.354265694,8.312404169,8.393873333,8.788856853,8.678804607,8.503986786,9.787833792,9.172997626,10.61923287,10.78204644,11.7028125,10.85157717,10.44738053,10.03877607,9.840213973,10.16323755,10.0584039,10.01399498,9.666227638,9.477599391,9.89503312,9.673772212,7.854457974,8.075247387,8.229094252,7.961361065,8.718038371,8.641576555,8.384478954,8.73269547,8.66265884,8.240035221,9.037987291,9.435135921,9.709001214,8.880980873,8.520577171,8.47619625,8.453696395,9.375020115,8.97565012,9.140144587,8.193421804,8.44447797,8.022031713,8.613604461
"CATMA1a18220",11.91588666,10.81167269,10.20720622,9.857168975,10.03585523,9.60932342,10.01976379,10.3967915,10.92039591,10.80983792,11.70275816,11.70017969,13.28180712,13.04634661,12.53207974,12.10207391,12.12854637,11.98059831,11.91497402,11.64473119,11.42515572,11.48292435,11.99032167,11.47928831,11.69144877,10.77658753,10.29667328,9.519784329,10.80797247,9.590796072,9.266944243,9.691645733,9.542620849,9.428092414,9.527833144,10.29072455,10.5149368,10.95231678,10.09884664,10.08078528,10.01024416,10.04984202,9.911283594,9.61498548,9.902755035,9.927983685,9.482258166,10.01609513
"CATMA1a21215",12.50326749,12.42964286,12.18851548,12.08991546,11.82123625,11.18069896,11.15074804,11.0956571,10.68559798,11.40673624,11.82583252,12.09478819,12.0604363,11.38343068,11.23935081,10.18253861,10.48769898,10.41870651,10.06784605,9.536810355,9.355189104,9.748538107,10.19427598,10.77138843,12.7234971,12.61730948,12.40694601,12.19481533,12.32588819,11.37181952,11.31214929,10.85971661,10.7999808,11.82180663,12.10209718,12.76982032,12.81156799,12.25876238,12.2857832,11.87582822,11.51817115,11.1645549,11.19603449,10.71226841,11.08945154,10.92675994,12.01918268,12.58638409
"CATMA1a31015",13.77168687,13.04321153,13.29959776,13.07029041,13.08907008,12.30704151,12.46898022,12.42279099,12.3129857,13.14842055,12.92563464,13.0123555,13.06778493,12.66880657,12.61590976,12.22012423,12.33928062,12.47608826,12.35851871,12.35446929,12.33876415,12.63679056,12.40283191,12.48783258,13.67322035,13.86531931,13.38425452,13.10459351,13.75520807,12.30150702,12.21948516,12.27045283,12.02838104,12.87544355,12.63104133,12.82805823,12.48231759,13.0386339,12.94214397,12.81850183,12.52693471,12.06324104,12.44964178,12.38852526,12.62847879,13.0783115,12.65888985,12.86281213
